网课专线,#genre#

小学一年级,#genre#
--一年级上,#genre#
----道德与法治,#genre#
一年级上道德与法治001-开开心心上学去,https://d006.eduyun.cn/videoworks/mda-kicmuutzh0jhize0/ykt_tbkt_hls_1080_7/video/一年级道德与法治（统编版）《开开心心上学去》.m3u8
一年级上道德与法治002-拉拉手 交朋友,https://d006.eduyun.cn/videoworks/mda-kiggw7qpfmctwdyv/ykt_tbkt_hls_1080_7/video/一年级【道德与法治（统编）】拉拉手，交朋友.m3u8
一年级上道德与法治003-我认识您了,https://d006.eduyun.cn/videoworks/mda-kipgmat0xj6xve2g/ykt_tbkt_hls_1080_7/video/一年级道德与法治（统编版）《我认识您了》.m3u8
一年级上道德与法治004-上学路上,https://d006.eduyun.cn/videoworks/mda-kitffyx75znq6rzv/ykt_tbkt_hls_1080_7/video/一年级道德与法治（统编版）《上学路上》.m3u8
一年级上道德与法治005-我们的校园,https://d006.eduyun.cn/videoworks/mda-kiydtbg9qem454ej/ykt_tbkt_hls_1080_7/video/一年级道德与法治（统编版）《我们的校园》.m3u8
一年级上道德与法治006-校园里的号令,https://d006.eduyun.cn/videoworks/mda-kjigqhjhqswqfgfk/ykt_tbkt_hls_1080_7/video/一年级道德与法治（统编版）《校园里的号令》.m3u8
一年级上道德与法治007-课间十分钟,https://d006.eduyun.cn/videoworks/mda-kjrdne2sriy6y9xj/ykt_tbkt_hls_1080_7/video/一年级道德与法治（统编版）《课间十分钟》.m3u8
一年级上道德与法治008-上课了,https://d006.eduyun.cn/videoworks/mda-kjyg3ickahj534ym/ykt_tbkt_hls_1080_7/video/一年级道德与法治（统编版）《上课了》.m3u8
一年级上道德与法治009-玩得真开心,https://d006.eduyun.cn/videoworks/mda-kj4ghs6kg9wsrgwj/ykt_tbkt_hls_1080_7/video/一年级道德与法治（统编版）《玩得真开心》.m3u8
一年级上道德与法治010-吃饭有讲究,https://d006.eduyun.cn/videoworks/mda-kkeghy25fycr7yzd/ykt_tbkt_hls_1080_7/video/一年级道德与法治（统编版）《吃饭有讲究》.m3u8
一年级上道德与法治011-别伤着自己,https://d006.eduyun.cn/videoworks/mda-kknb04hfn943sm75/ykt_tbkt_hls_1080_7/video/一年级【道德与法治（统编）】别伤着自己.m3u8
一年级上道德与法治012-早睡早起,https://d006.eduyun.cn/videoworks/mda-kkzh8dzkv2tnscec/ykt_tbkt_hls_1080_7/video/一年级道德与法治（统编版）《早睡早起》.m3u8
一年级上道德与法治013-美丽的冬天,https://d006.eduyun.cn/videoworks/mda-kmag3h268deb1iwx/ykt_tbkt_hls_1080_7/video/一年级道德与法治（统编版）《美丽的冬天》.m3u8
一年级上道德与法治014-健康过冬天,https://d006.eduyun.cn/videoworks/mda-kmhhhpx6iffywprf/ykt_tbkt_hls_1080_7/video/一年级道德与法治（统编版）《健康过冬天》.m3u8
一年级上道德与法治015-快乐过新年,https://d006.eduyun.cn/videoworks/mda-kmhhxyi25d6ypqdc/ykt_tbkt_hls_1080_7/video/一年级道德与法治（统编版）《快乐过新年》.m3u8
一年级上道德与法治016-新年的礼物,https://d006.eduyun.cn/videoworks/mda-kmjhpexxhr114z2j/ykt_tbkt_hls_1080_7/video/一年级道德与法治（统编版）《新年的礼物》.m3u8
----科学,#genre#
一年级上科学001-科学真有趣（第一课时）,https://d006.eduyun.cn/videoworks/mda-kicmet3bg1xr2z2k/ykt_tbkt_hls_1080_7/video/一年级【科学（人教鄂教版）】科学真有趣（第一课时）.m3u8
一年级上科学002-科学真有趣（第二课时）,https://d006.eduyun.cn/videoworks/mda-kiggjdgfhsr01dbk/ykt_tbkt_hls_1080_7/video/一年级【科学（人教鄂教版）】科学真有趣（第二课时）.m3u8
一年级上科学003-袋子里面有什么,https://d006.eduyun.cn/videoworks/mda-kipgty6k7hgq8jp6/ykt_tbkt_hls_1080_7/video/一年级科学（人教鄂教版）《袋子里面有什么》.m3u8
一年级上科学004-相同和不同,https://d006.eduyun.cn/videoworks/mda-kitf0f7s3nz1xf68/ykt_tbkt_hls_1080_7/video/一年级科学（人教鄂教版）《相同和不同》.m3u8
一年级上科学005-金鱼,https://d006.eduyun.cn/videoworks/mda-kizivzxs3dsn4kcr/ykt_tbkt_hls_1080_7/video/一年级科学（人教鄂教版）《金鱼》.m3u8
一年级上科学006-猫和兔,https://d006.eduyun.cn/videoworks/mda-kjigwi1ytd1piyep/ykt_tbkt_hls_1080_7/video/一年级科学（人教鄂教版）《猫和兔》.m3u8
一年级上科学007-常见的家养动物,https://d006.eduyun.cn/videoworks/mda-kjrd5fg2z280vyuc/ykt_tbkt_hls_1080_7/video/一年级科学（人教鄂教版）《常见的家养动物》.m3u8
一年级上科学008-它们是用什么做的,https://d006.eduyun.cn/videoworks/mda-kj2dkq14kq7wmgss/ykt_tbkt_hls_1080_7/video/一年级科学（人教鄂教版）《它们是用什么做的》.m3u8
一年级上科学009-不一样的材料,https://d006.eduyun.cn/videoworks/mda-kj4g49hfubi9u20c/ykt_tbkt_hls_1080_7/video/一年级科学（人教鄂教版）《不一样的材料》.m3u8
一年级上科学010-纸制品（第一课时）,https://d006.eduyun.cn/videoworks/mda-kkjjujvvnr2qhaqn/ykt_tbkt_hls_1080_7/video/一年级【科学（人教鄂教版）】纸制品（第一课时）.m3u8
一年级上科学011-纸制品（第二课时）,https://d006.eduyun.cn/videoworks/mda-kknbrx64azi45x46/ykt_tbkt_hls_1080_7/video/一年级【科学（人教鄂教版）】纸制品（第二课时）.m3u8
一年级上科学012-常见的工具,https://d006.eduyun.cn/videoworks/mda-kkzh5nbdm592vf8z/ykt_tbkt_hls_1080_7/video/一年级科学（人教鄂教版）《常见的工具》.m3u8
一年级上科学013-制作笔筒（第一课时）,https://d006.eduyun.cn/videoworks/mda-kkzhi77f77fih9zu/ykt_tbkt_hls_1080_7/video/一年级科学（人教鄂教版）《制作笔筒》(第1课时).m3u8
一年级上科学014-制作笔筒（第二课时）,https://d006.eduyun.cn/videoworks/mda-kmdgmh2dqgi1jezi/ykt_tbkt_hls_1080_7/video/一年级科学（人教鄂教版）《制作笔筒》(第二课时).m3u8
一年级上科学015-展示与改进,https://d006.eduyun.cn/videoworks/mda-kmhhuessiu3afst1/ykt_tbkt_hls_1080_7/video/一年级科学（人教鄂教版）《展示与改进》.m3u8
一年级上科学016-总结回顾,https://d006.eduyun.cn/videoworks/mda-kmhhq8t0215jebn0/ykt_tbkt_hls_1080_7/video/一年级科学（人教鄂教版）《总结回顾》.m3u8
----美术,#genre#
一年级上美术001-涂涂画画,https://d006.eduyun.cn/videoworks/mda-kicmhsx8e80pjurd/ykt_tbkt_hls_1080_7/video/一年级美术（人美版）《涂涂画画》（第一课时).m3u8
一年级上美术002-可爱的家,https://d006.eduyun.cn/videoworks/mda-kidbqh0czckvmdu8/ykt_tbkt_hls_1080_7/video/一年级美术（人美版）《可爱的家》.m3u8
一年级上美术003-找妈妈,https://d006.eduyun.cn/videoworks/mda-kiiqxr1dgwfiubnu/ykt_tbkt_hls_1080_7/video/一年级美术(人美版)《找妈妈》.m3u8
一年级上美术004-多样的小饼干,https://d006.eduyun.cn/videoworks/mda-kish3vae9ucmpvqm/ykt_tbkt_hls_1080_7/video/一年级美术（人美版）《多样的小饼干》.m3u8
一年级上美术005-看谁摆的花样多,https://d006.eduyun.cn/videoworks/mda-ki4mnruiaxfdinfd/ykt_tbkt_hls_1080_7/video/一年级美术（人美版）《看谁摆的花样多》.m3u8
一年级上美术006-变脸的太阳,https://d006.eduyun.cn/videoworks/mda-kjrcvazxkbqguzqt/ykt_tbkt_hls_1080_7/video/一年级【美术（人美版）】变脸的太阳.m3u8
一年级上美术007-我的手,https://d006.eduyun.cn/videoworks/mda-kjxjacviqgju13bz/ykt_tbkt_hls_1080_7/video/一年级【美术（人美版）】我的手.m3u8
